Address,Company,Title,Career,Skill,URL,InfoDetails,Tag,D_day
구로구,㈜이오그라운드,[쿠아바타] 모바일앱 AI 개발자 (RAG),경력무관,"Pandas, Python, Pytorch, Airflow, Langchain",https://www.jobkorea.co.kr/Recruit/GI_Read/44517975?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 머신러닝엔지니어 인공지능 모바일·APP 서울 > 구로구,시작일 2024.04.22(월) 마감일 2024.05.22(수)
송파구,㈜뉴냅스,[뉴냅스] AI 개발자 채용 공고,경력무관,우대전공 전산학·컴퓨터공학,https://www.jobkorea.co.kr/Recruit/GI_Read/44519732?rPageCode=SL&logpath=21&sn=6,,서울형 강소기업 온라인 채용관IT 개발자 전문 채용관제약 직무채용관 머신러닝엔지니어 인공지능 딥러닝 제약·보건·바이오 의료기기 서울 > 송파구,
구로구,에쓰오씨소프트㈜,AI 모델링 / 데이터 분석,경력 (3년이상),"Keras, Tensorflow",https://www.jobkorea.co.kr/Recruit/GI_Read/44336132?rPageCode=SL&logpath=21&sn=6,,가족친화인증기업 채용관일학습병행 채용관IT 개발자 전문 채용관 데이터사이언티스트 데이터분석 분석모델링 머신러닝엔지니어 모델링 딥러닝 솔루션·SI·CRM·ERP 소프트웨어개발 SI BigData 서울 > 구로구,시작일 2024.03.28(목) 마감일 2024.05.27(월)
서초구,모빌테크,[모빌테크] SLAM & Computer Vision 연구원 모집 (신입/경력),신입·경력 (2년이상),"C++, Python, Pytorch, Tensorflow",https://www.jobkorea.co.kr/Recruit/GI_Read/44502868?rPageCode=SL&logpath=21&sn=6,,잡아바 추천 TOP 기업 온라인 채용관IT 개발자 전문 채용관 데이터엔지니어 머신러닝엔지니어 딥러닝 이미지프로세싱 인공지능 알고리즘 영상처리 C언어 C++ 컴퓨터비전 자율주행 솔루션·SI·CRM·ERP 소프트웨어개발 서울 > 서초구,시작일 2024.04.19(금) 마감일 2024.06.18(화)
금천구,㈜비지언스,AI 개발자,경력 (1년이상),Python,https://www.jobkorea.co.kr/Recruit/GI_Read/44354351?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 데이터엔지니어 빅데이터 머신러닝엔지니어 인공지능 솔루션·SI·CRM·ERP ERP 서울 > 금천구,시작일 2024.04.01(월) 마감일 2024.05.31(금)
금천구,㈜코드랩이앤티,(빅데이터/AI/파이썬/자바/C#/PLC/유니티) 멘토(훈련보조강사) 채용,경력무관,"API, AWS, Docker, Git, JAVA, JPA, MariaDB, MongoDB, MSA",https://www.jobkorea.co.kr/Recruit/GI_Read/44426091?rPageCode=SL&logpath=21&sn=6,,교육 직무채용관IT 개발자 전문 채용관 백엔드개발자 서버관리 클라이언트 HTTP SI개발 데이터사이언티스트 BI 데이터분석 데이터시각화 머신러닝엔지니어 딥러닝 자연어처리(NLP) 음성인식 인공지능 챗봇 유니티 C#,시작일 2024.04.09(화) 마감일 2024.06.08(토)
강남구,에스씨301의원,[SC301의원 삼성동/코엑스] 성형외과 AI엔지니어/개발자(경력자)를 모십니다.,경력,".Net, ASP, Ajax, Android, ASP.NET, EJB, HTML, JAVA, JSP, Python",https://www.jobkorea.co.kr/Recruit/GI_Read/44409886?rPageCode=SL&logpath=21&sn=6,,제약 직무채용관IT 개발자 전문 채용관 백엔드개발자 서버관리 클라이언트 핀테크 HTTP SI개발 프론트엔드개발자 GUI 반응형웹 인터페이스 웹개발자 앱개발자 챗봇 메타버스 네트워크엔지니어 네트워크관리 서버구축,시작일 2024.04.08(월) 마감일 2024.05.31(금)
강남구,㈜단솔플러스,[RPA] Brity RPA 운영/개발 모집,경력무관,"C#, Javascript, VB.NET, Excel",https://www.jobkorea.co.kr/Recruit/GI_Read/44359436?rPageCode=SL&logpath=21&sn=6,,참 괜찮은 중소기업 선정 기업IT 개발자 전문 채용관 소프트웨어개발자 시스템설계 머신러닝엔지니어 모델링 챗봇 RPA 솔루션·SI·CRM·ERP 소프트웨어개발 ERP SI 서울 > 강남구,
서초구,기쁨병원,"[기쁨병원] AI 개발자 및 모바일 앱 개발자, 병원 전산 개발/운영",경력,"기본우대 관련 자격증 보유자
더보기",https://www.jobkorea.co.kr/Recruit/GI_Read/44489007?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 머신러닝엔지니어 의료(병원분류별) 병원 서울 > 서초구,시작일 2024.04.18(목) 마감일 2024.06.17(월)
강남구,딥브레인 AI,[딥브레인AI] 딥러닝 연구원 / 엔지니어 모집 (전문연구요원 가능),신입·경력,"C, C#, C++, JAVA, Python, C++Builder",https://www.jobkorea.co.kr/Recruit/GI_Read/44408834?rPageCode=SL&logpath=21&sn=6,,스타트업 전문채용관잡아바 추천 TOP 기업 온라인 채용관IT 개발자 전문 채용관 머신러닝엔지니어 딥러닝 자연어처리(NLP) 인공지능 챗봇 라이브러리 알고리즘 음성처리 파이썬 솔루션·SI·CRM·ERP 솔루션 소프트웨어개발 서울 > 강남구,
금천구,아크로노드,System 엔지니어 (SE) 부문 담당자 채용,신입·경력,"SQL, Tomcat, WAS, Window, Linux",https://www.jobkorea.co.kr/Recruit/GI_Read/44378764?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 시스템엔지니어 서버구축 시스템분석 시스템운영 서버관리 소프트웨어개발자 시스템설계 머신러닝엔지니어 음성인식 인공지능 솔루션·SI·CRM·ERP 솔루션 서울 > 금천구,시작일 2024.04.03(수) 마감일 2024.06.02(일)
강남구,주식회사 데이블,Machine Learning Engineer (전문연구요원 현역/보충역),신입,"AWS, kubernetes, Python, Pytorch, Spark, SQL, Fastapi, Ray, MLOps",https://www.jobkorea.co.kr/Recruit/GI_Read/44435115?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 머신러닝엔지니어 모델링 딥러닝 솔루션·SI·CRM·ERP DataMining DataWarehouse CRM BigData 서울 > 강남구,
강남구,㈜카운트다운에이아이,카운트다운AI Gen AI 개발자,경력무관,"API, Docker, MySQL, Python, Pytorch, Cloud, CNN, CUDA, DL, GAN",https://www.jobkorea.co.kr/Recruit/GI_Read/44393464?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 백엔드개발자 서버관리 머신러닝엔지니어 딥러닝 모델링 인공지능 모바일·APP 서울 > 강남구,시작일 2024.04.05(금) 마감일 2024.06.04(화)
강남구,딥브레인 AI,"[딥브레인 AI] 전문연구요원, 산업기능요원 채용",신입,,https://www.jobkorea.co.kr/Recruit/GI_Read/44517307?rPageCode=SL&logpath=21&sn=6,,스타트업 전문채용관잡아바 추천 TOP 기업 온라인 채용관IT 개발자 전문 채용관 백엔드개발자 프론트엔드개발자 머신러닝엔지니어 딥러닝 자연어처리(NLP) 음성인식 이미지프로세싱 챗봇 솔루션·SI·CRM·ERP 솔루션 소프트웨어개발 서울 > 강남구,
강남구,㈜에스에이치엘에이비,AI 임베디드 IoT 신입/경력 사원 모집,신입·경력,"Keras, Python, Pytorch, Tensorflow, 라즈베리파이",https://www.jobkorea.co.kr/Recruit/GI_Read/44479375?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 소프트웨어개발자 머신러닝엔지니어 딥러닝 이미지프로세싱 솔루션·SI·CRM·ERP 소프트웨어개발 서울 > 강남구,
